date, timeslot, station, inFlow, outFlow
20170515,756,2035,4954,2348
20170515,757,2035,4247,1776
20170515,758,2035,3578,1621
20170515,759,2035,3070,1345
20170515,760,2035,2832,1306
20170515,761,2035,2687,1314
20170515,762,2035,2676,1306
20170515,763,2035,2509,1128
20170515,764,2035,2592,1122
20170515,765,2035,2539,1111
20170515,766,2035,2467,1002
20170515,767,2035,2352,858
20170516,768,2035,198,1468
20170516,769,2035,282,966
20170516,770,2035,386,970
20170516,771,2035,483,1011
20170516,772,2035,638,1377
20170516,773,2035,814,1634
20170516,774,2035,1075,1928
20170516,775,2035,1360,2647
20170516,776,2035,1571,3974
20170516,777,2035,1684,5648
20170516,778,2035,1705,7433
20170516,779,2035,1546,8053
20170516,780,2035,1311,5778
20170516,781,2035,1285,4474
20170516,782,2035,1150,3970
20170516,783,2035,1089,2943
20170516,784,2035,1069,2671
20170516,785,2035,1026,2140
20170516,786,2035,1115,2061
20170516,787,2035,1116,1994
20170516,788,2035,1084,1834
20170516,789,2035,1218,1788
20170516,790,2035,1190,1746
20170516,791,2035,1363,1579
20170516,792,2035,1421,1812
20170516,793,2035,1429,1762
20170516,794,2035,1673,1892
20170516,795,2035,1691,1861
20170516,796,2035,1776,2030
20170516,797,2035,1769,1987
20170516,798,2035,1948,1972
20170516,799,2035,1937,1986
20170516,800,2035,1941,2125
20170516,801,2035,2070,1885
20170516,802,2035,2149,1941
20170516,803,2035,2155,1921
20170516,804,2035,2209,2063
20170516,805,2035,2357,1837
20170516,806,2035,2301,1911
20170516,807,2035,2286,1816
20170516,808,2035,2389,1974
20170516,809,2035,2375,1861
20170516,810,2035,2689,1989
20170516,811,2035,2682,2132
20170516,812,2035,3157,2451
20170516,813,2035,3637,2830
20170516,814,2035,4508,3247
20170516,815,2035,5088,3417
20170516,816,2035,5649,3369
20170516,817,2035,6058,3677
20170516,818,2035,5882,3231
20170516,819,2035,5976,3047
20170516,820,2035,4824,2331
20170516,821,2035,4120,2178
20170516,822,2035,3557,1842
20170516,823,2035,3425,1655
20170516,824,2035,2845,1452
20170516,825,2035,2815,1320
20170516,826,2035,2833,1467
20170516,827,2035,2785,1320
20170516,828,2035,2844,1308
20170516,829,2035,2819,1329
20170516,830,2035,2963,1305
20170516,831,2035,2906,1108
20170517,832,2035,239,594
20170517,833,2035,270,664
20170517,834,2035,375,702
20170517,835,2035,485,938
20170517,836,2035,656,1327
20170517,837,2035,842,1526
20170517,838,2035,1142,2018
20170517,839,2035,1364,2668
20170517,840,2035,1717,4082
20170517,841,2035,1732,5678
20170517,842,2035,1744,7361
20170517,843,2035,1588,7567
20170517,844,2035,1425,5627
20170517,845,2035,1334,4825
20170517,846,2035,1149,3746
20170517,847,2035,1113,3092
20170517,848,2035,1110,2736
20170517,849,2035,1098,2220
20170517,850,2035,1042,2208
20170517,851,2035,1137,1918
20170517,852,2035,1120,1935
20170517,853,2035,1201,1720
20170517,854,2035,1260,1799
20170517,855,2035,1426,1846
20170517,856,2035,1321,1698
20170517,857,2035,1491,1776
20170517,858,2035,1656,1848
20170517,859,2035,1775,1994
20170517,860,2035,1906,2012
20170517,861,2035,1945,2132
20170517,862,2035,2053,2176
20170517,863,2035,2141,2183
20170517,864,2035,2257,1967
20170517,865,2035,2135,2047
20170517,866,2035,2234,1879
20170517,867,2035,2240,1954
20170517,868,2035,2175,1859
20170517,869,2035,2178,1940
20170517,870,2035,2390,1908
20170517,871,2035,2321,1953
20170517,872,2035,2548,1960
20170517,873,2035,2619,1889
20170517,874,2035,2766,2006
20170517,875,2035,2680,2223
20170517,876,2035,3142,2561
20170517,877,2035,3562,2736
20170517,878,2035,4485,3390
20170517,879,2035,5117,3483
20170517,880,2035,5646,3552
20170517,881,2035,6057,3844
20170517,882,2035,5910,3406
20170517,883,2035,5676,2912
20170517,884,2035,4875,2471
20170517,885,2035,4286,2009
20170517,886,2035,3619,1753
20170517,887,2035,3314,1570
20170517,888,2035,3023,1392
20170517,889,2035,2810,1484
20170517,890,2035,2847,1564
20170517,891,2035,2956,1444
20170517,892,2035,3121,1419
20170517,893,2035,3023,1393
20170517,894,2035,3056,1275
20170517,895,2035,2881,1178
20170518,896,2035,191,738
20170518,897,2035,290,589
20170518,898,2035,407,802
20170518,899,2035,485,946
20170518,900,2035,696,1347
20170518,901,2035,866,1672
20170518,902,2035,1106,1984
20170518,903,2035,1387,2648
20170518,904,2035,1635,4225
20170518,905,2035,1681,5236
20170518,906,2035,1643,6843
20170518,907,2035,1659,8077
20170518,908,2035,1387,5809
20170518,909,2035,1231,4961
20170518,910,2035,1178,3766
20170518,911,2035,1085,3164
20170518,912,2035,1062,2567
20170518,913,2035,1098,2280
20170518,914,2035,1078,2221
20170518,915,2035,1153,2003
20170518,916,2035,1091,1850
20170518,917,2035,1167,1675
20170518,918,2035,1297,1846
20170518,919,2035,1403,1809
20170518,920,2035,1444,1752
20170518,921,2035,1539,1810
20170518,922,2035,1669,1924
20170518,923,2035,1731,2012
20170518,924,2035,1790,1941
20170518,925,2035,1851,1999
